r3:h2o:0:183.789
r3:h2o:0:178.47
r3:h2o:0:186.831
r3:h2o:0-1:91.402
r3:h2o:0-1:94.526
r3:h2o:0-1:92.43
r3:h2o:0-3:48.77
r3:h2o:0-3:48.486
r3:h2o:0-3:49.27
r3:h2o:0-7:27.045
r3:h2o:0-7:27.316
r3:h2o:0-7:27.433
r3:h2o:0-3,8-11:29.396
r3:h2o:0-3,8-11:27.361
r3:h2o:0-3,8-11:28.24
r3:h2o:0-3,16-19:39.175
r3:h2o:0-3,16-19:40.457
r3:h2o:0-3,16-19:40.355
r3:h2o:0-15:16.205
r3:h2o:0-15:15.746
r3:h2o:0-15:16.225
r3:h2o:0-7,16-23:24.411
r3:h2o:0-7,16-23:25.222
r3:h2o:0-7,16-23:24.053
r3:h2o:0-31:15.622
r3:h2o:0-31:16.062
r3:h2o:0-31:15.803
