r3:h2o:1:0:178.844
r3:h2o:1:0:186.326
r3:h2o:1:0:182.159
r3:h2o:1:0:183.141
r3:h2o:1:0:180.194
r3:h2o:1:0:181.846
r3:h2o:1:0:179.545
r3:h2o:1:0:179.597
r3:h2o:1:0:178.971
r3:h2o:1:0:183.393
r3:h2o:2:0-1:92.182
r3:h2o:2:0-1:90.836
r3:h2o:2:0-1:91.301
r3:h2o:2:0-1:91.332
r3:h2o:2:0-1:92.991
r3:h2o:2:0-1:93.535
r3:h2o:2:0-1:92.425
r3:h2o:2:0-1:90.492
r3:h2o:2:0-1:91.901
r3:h2o:2:0-1:94.947
r3:h2o:4:0-3:46.878
r3:h2o:4:0-3:48.867
r3:h2o:4:0-3:48.702
r3:h2o:4:0-3:48.328
r3:h2o:4:0-3:47.98
r3:h2o:4:0-3:50.151
r3:h2o:4:0-3:49.498
r3:h2o:4:0-3:50.052
r3:h2o:4:0-3:50.256
r3:h2o:4:0-3:49.618
r3:h2o:8:0-7:27.97
r3:h2o:8:0-7:27.606
r3:h2o:8:0-7:27.621
r3:h2o:8:0-7:27.103
r3:h2o:8:0-7:26.358
r3:h2o:8:0-7:26.759
r3:h2o:8:0-7:28.592
r3:h2o:8:0-7:27.417
r3:h2o:8:0-7:27.747
r3:h2o:8:0-7:27.726
r3:h2o:8:0-3,8-11:26.991
r3:h2o:8:0-3,8-11:28.068
r3:h2o:8:0-3,8-11:28.194
r3:h2o:8:0-3,8-11:28.147
r3:h2o:8:0-3,8-11:28.304
r3:h2o:8:0-3,8-11:27.859
r3:h2o:8:0-3,8-11:27.548
r3:h2o:8:0-3,8-11:28.15
r3:h2o:8:0-3,8-11:27.836
r3:h2o:8:0-3,8-11:27.012
r3:h2o:8:0-3,16-19:42.467
r3:h2o:8:0-3,16-19:41.366
r3:h2o:8:0-3,16-19:40.847
r3:h2o:8:0-3,16-19:40.456
r3:h2o:8:0-3,16-19:41.637
r3:h2o:8:0-3,16-19:39.031
r3:h2o:8:0-3,16-19:40.795
r3:h2o:8:0-3,16-19:41.072
r3:h2o:8:0-3,16-19:40.742
r3:h2o:8:0-3,16-19:42.254
r3:h2o:16:0-15:15.427
r3:h2o:16:0-15:16.166
