x1:xgboost:0:197.14
x1:xgboost:0:197.1
x1:xgboost:0:196.747
x1:xgboost:0:199.474
x1:xgboost:0:199.63
x1:xgboost:0:199.02
x1:xgboost:0:197.401
x1:xgboost:0:197.275
x1:xgboost:0:197.718
x1:xgboost:0:197.586
x1:xgboost:0-1:189.423
x1:xgboost:0-1:188.9
x1:xgboost:0-1:188.976
x1:xgboost:0-1:188.987
x1:xgboost:0-1:188.941
x1:xgboost:0-1:188.653
x1:xgboost:0-1:188.559
x1:xgboost:0-1:188.188
x1:xgboost:0-1:189.431
x1:xgboost:0-1:188.193
x1:xgboost:0-3:150.783
x1:xgboost:0-3:150.923
x1:xgboost:0-3:150.659
x1:xgboost:0-3:150.473
x1:xgboost:0-3:150.569
x1:xgboost:0-3:151.63
x1:xgboost:0-3:150.621
x1:xgboost:0-3:150.106
x1:xgboost:0-3:150.96
x1:xgboost:0-3:150.812
x1:xgboost:0-7:145.338
x1:xgboost:0-7:145.515
x1:xgboost:0-7:145.309
x1:xgboost:0-7:145.801
x1:xgboost:0-7:145.595
x1:xgboost:0-7:145.958
x1:xgboost:0-7:145.559
x1:xgboost:0-7:145.139
x1:xgboost:0-7:145.401
x1:xgboost:0-7:145.563
x1:xgboost:0-3,16-19:259.17
x1:xgboost:0-3,16-19:258.188
x1:xgboost:0-3,16-19:271.228
x1:xgboost:0-3,16-19:259.466
x1:xgboost:0-3,16-19:275.555
x1:xgboost:0-3,16-19:274.365
x1:xgboost:0-3,16-19:270.801
x1:xgboost:0-3,16-19:275.533
x1:xgboost:0-3,16-19:259.171
x1:xgboost:0-3,16-19:272.183
x1:xgboost:0-3,64-67:179.576
x1:xgboost:0-3,64-67:180.625
x1:xgboost:0-3,64-67:180.631
x1:xgboost:0-3,64-67:180.582
x1:xgboost:0-3,64-67:180.808
x1:xgboost:0-3,64-67:180.17
x1:xgboost:0-3,64-67:180.377
x1:xgboost:0-3,64-67:181.223
x1:xgboost:0-3,64-67:181.059
x1:xgboost:0-3,64-67:181.51
x1:xgboost:0-15:149.825
x1:xgboost:0-15:150.359
x1:xgboost:0-15:150.483
x1:xgboost:0-15:149.911
x1:xgboost:0-15:150.055
x1:xgboost:0-15:149.786
x1:xgboost:0-15:149.965
x1:xgboost:0-15:149.969
x1:xgboost:0-15:149.495
x1:xgboost:0-15:149.94
x1:xgboost:0-7,16-23:305.452
x1:xgboost:0-7,16-23:297.711
x1:xgboost:0-7,16-23:310.579
x1:xgboost:0-7,16-23:310.801
x1:xgboost:0-7,16-23:308.175
x1:xgboost:0-7,16-23:296.058
x1:xgboost:0-7,16-23:300.167
x1:xgboost:0-7,16-23:308.358
x1:xgboost:0-7,16-23:300.089
x1:xgboost:0-7,16-23:300.661
x1:xgboost:0-7,32-39:319.924
x1:xgboost:0-7,32-39:313.272
x1:xgboost:0-7,32-39:298.07
x1:xgboost:0-7,32-39:326.538
x1:xgboost:0-7,32-39:319.478
x1:xgboost:0-7,32-39:304.191
x1:xgboost:0-7,32-39:299.959
x1:xgboost:0-7,32-39:295.177
x1:xgboost:0-7,32-39:320.126
x1:xgboost:0-7,32-39:314.438
x1:xgboost:0-7,64-71:178.061
x1:xgboost:0-7,64-71:178.163
x1:xgboost:0-7,64-71:177.825
x1:xgboost:0-7,64-71:178.319
x1:xgboost:0-7,64-71:178.084
x1:xgboost:0-7,64-71:177.548
x1:xgboost:0-7,64-71:178.036
x1:xgboost:0-7,64-71:178.532
x1:xgboost:0-7,64-71:177.609
x1:xgboost:0-7,64-71:178.493
x1:xgboost:0-31:326.487
x1:xgboost:0-31:320.691
x1:xgboost:0-31:322.757
x1:xgboost:0-31:337.442
x1:xgboost:0-31:327.7
x1:xgboost:0-31:333.404
x1:xgboost:0-31:331.438
x1:xgboost:0-31:322.422
x1:xgboost:0-31:331.56
x1:xgboost:0-31:335.526
x1:xgboost:0-15,32-47:333.758
x1:xgboost:0-15,32-47:321.835
x1:xgboost:0-15,32-47:338.034
x1:xgboost:0-15,32-47:318.34
