r3:xgboost:0:69.433
r3:xgboost:0:69.307
r3:xgboost:0:69.683
r3:xgboost:0:69.987
r3:xgboost:0:69.7
r3:xgboost:0:69.66
r3:xgboost:0:69.657
r3:xgboost:0:69.729
r3:xgboost:0:70.102
r3:xgboost:0:69.854
r3:xgboost:0-1:57.752
r3:xgboost:0-1:58.342
r3:xgboost:0-1:58.399
r3:xgboost:0-1:57.907
r3:xgboost:0-1:58.264
r3:xgboost:0-1:58.421
r3:xgboost:0-1:57.859
r3:xgboost:0-1:58.76
r3:xgboost:0-1:58.731
r3:xgboost:0-1:58.548
r3:xgboost:0-3:52.277
r3:xgboost:0-3:52.405
r3:xgboost:0-3:52.573
r3:xgboost:0-3:52.492
r3:xgboost:0-3:52.23
r3:xgboost:0-3:52.214
r3:xgboost:0-3:52.202
r3:xgboost:0-3:52.246
r3:xgboost:0-3:52.162
r3:xgboost:0-3:52.246
r3:xgboost:0-7:122.421
r3:xgboost:0-7:122.037
r3:xgboost:0-7:122.511
r3:xgboost:0-7:121.316
r3:xgboost:0-7:122.059
r3:xgboost:0-7:121.925
r3:xgboost:0-7:121.483
r3:xgboost:0-7:121.771
r3:xgboost:0-7:121.878
r3:xgboost:0-7:122.384
r3:xgboost:0-3,8-11:133.141
r3:xgboost:0-3,8-11:133.081
r3:xgboost:0-3,8-11:131.136
r3:xgboost:0-3,8-11:135.155
r3:xgboost:0-3,8-11:133.776
r3:xgboost:0-3,8-11:135.188
r3:xgboost:0-3,8-11:135.421
r3:xgboost:0-3,8-11:131.834
r3:xgboost:0-3,8-11:133.416
r3:xgboost:0-3,8-11:134.522
r3:xgboost:0-3,16-19:118.156
r3:xgboost:0-3,16-19:117.766
r3:xgboost:0-3,16-19:118.318
r3:xgboost:0-3,16-19:117.804
r3:xgboost:0-3,16-19:117.571
r3:xgboost:0-3,16-19:117.772
r3:xgboost:0-3,16-19:117.701
r3:xgboost:0-3,16-19:117.319
r3:xgboost:0-3,16-19:116.536
r3:xgboost:0-3,16-19:117.185
r3:xgboost:0-15:146.629
r3:xgboost:0-15:145.854
r3:xgboost:0-15:143.87
r3:xgboost:0-15:143.284
r3:xgboost:0-15:144.533
r3:xgboost:0-15:144.162
r3:xgboost:0-15:144.828
r3:xgboost:0-15:145.123
r3:xgboost:0-15:145.062
r3:xgboost:0-15:146.767
r3:xgboost:0-7,16-23:124.163
r3:xgboost:0-7,16-23:123.058
r3:xgboost:0-7,16-23:123.896
r3:xgboost:0-7,16-23:124.118
r3:xgboost:0-7,16-23:123.692
r3:xgboost:0-7,16-23:124.261
r3:xgboost:0-7,16-23:122.93
r3:xgboost:0-7,16-23:122.675
r3:xgboost:0-7,16-23:123.215
r3:xgboost:0-7,16-23:123.052
r3:xgboost:0-31:20.808
r3:xgboost:0-31:21.158
r3:xgboost:0-31:23.136
r3:xgboost:0-31:23.101
r3:xgboost:0-31:20.95
r3:xgboost:0-31:25.938
r3:xgboost:0-31:24.724
r3:xgboost:0-31:21.949
r3:xgboost:0-31:24.974
r3:xgboost:0-31:14.498
